tradingsymbol,name,expiry,lot_size,instrument_token,timestamp,last_trade_time,bid,ask,last,change,high,low,close,buyers,sellers,volume,oi,last_quantity,buy_quantity,sell_quantity,upper_circuit,lower_circuit,atp,oi_day_high,oi_day_low
BANKNIFTY25DECFUT,BANKNIFTY,2025-12-30,35,12674050,2025-12-30 10:16:54.410729,2025-12-30 10:16:48,58945.4,58952.4,58950.0,0,58957.6,58761.0,58947.2,5,5,206710,616385,35,35385,56210,64841.8,53052.6,58839.31,673575,616385
FINNIFTY25DECFUT,FINNIFTY,2025-12-30,65,12677378,2025-12-30 10:16:54.410729,2025-12-30 10:16:54,27333.9,27341.3,27339.8,0,27371.7,27308.1,27380.0,5,5,10010,25415,65,15340,14560,30118.0,24642.0,27333.86,26000,25285
MIDCPNIFTY25DECFUT,MIDCPNIFTY,2025-12-30,140,12677634,2025-12-30 10:16:54.410729,2025-12-30 10:16:54,13632.45,13635.35,13632.45,0,13648.55,13600.1,13660.3,5,5,114520,878360,140,47880,51520,15026.3,12294.3,13615.7,920500,878360
NIFTY25DECFUT,NIFTY,2025-12-30,75,12683010,2025-12-30 10:16:54.410729,2025-12-30 10:16:56,25957.6,25960.0,25960.0,0,25966.0,25880.1,25957.2,5,5,1469025,7288425,75,114750,302625,28552.9,23361.5,25919.27,7395750,7288425
360ONE25DECFUT,360ONE,2025-12-30,500,12683522,2025-12-30 10:16:54.410729,2025-12-30 10:16:03,1178.7,1179.9,1179.9,0,1188.9,1171.2,1172.1,5,5,138500,438500,500,97000,77500,1289.3,1054.9,1178.59,461000,434500
ABB25DECFUT,ABB,2025-12-30,125,12684290,2025-12-30 10:16:54.410729,2025-12-30 10:16:45,5133.0,5135.0,5131.5,0,5173.0,5128.5,5166.0,5,5,49500,379250,125,26750,34250,5682.5,4649.5,5140.47,406875,379250
ABCAPITAL25DECFUT,ABCAPITAL,2025-12-30,3100,12686594,2025-12-30 10:16:54.410729,2025-12-30 10:16:30,348.0,348.15,348.1,0,348.5,346.25,346.9,5,5,1748400,5797000,3100,747100,985800,381.55,312.25,347.69,6004700,5797000
ADANIENSOL25DECFUT,ADANIENSOL,2025-12-30,675,12687874,2025-12-30 10:16:54.410729,2025-12-30 10:16:32,1003.45,1004.0,1004.0,0,1004.95,996.4,998.2,5,5,311850,1244700,675,141750,137700,1098.0,898.4,1000.89,1289250,1244700
ADANIENT25DECFUT,ADANIENT,2025-12-30,309,12688130,2025-12-30 10:16:54.410729,2025-12-30 10:16:55,2201.9,2203.0,2202.1,0,2209.7,2196.5,2205.0,5,5,1233219,5154120,309,114330,161298,2425.5,1984.5,2202.62,5550567,5154120
ADANIGREEN25DECFUT,ADANIGREEN,2025-12-30,600,12688898,2025-12-30 10:16:54.410729,2025-12-30 10:16:54,1005.6,1006.2,1006.1,0,1006.4,996.6,1002.8,5,5,2103000,4755000,600,186600,193200,1103.0,902.6,1003.12,5103600,4755000
ADANIPORTS25DECFUT,ADANIPORTS,2025-12-30,475,12689666,2025-12-30 10:16:54.410729,2025-12-30 10:16:54,1461.0,1461.6,1461.0,0,1462.3,1446.4,1455.1,5,5,1146175,3842275,475,146300,150575,1600.6,1309.6,1458.75,3926350,3813775
ALKEM25DECFUT,ALKEM,2025-12-30,125,12690178,2025-12-30 10:16:54.410729,2025-12-30 10:16:40,5446.5,5448.5,5446.5,0,5480.5,5402.0,5501.5,5,5,43500,134125,125,22875,21250,6051.5,4951.5,5461.88,134125,129500
AMBER25DECFUT,AMBER,2025-12-30,100,12691714,2025-12-30 10:16:54.410729,2025-12-30 10:16:55,6458.0,6461.5,6460.0,0,6530.5,6434.0,6514.5,5,5,71400,255600,100,21000,23700,7165.5,5863.5,6467.14,277300,255600
AMBUJACEM25DECFUT,AMBUJACEM,2025-12-30,1050,12692482,2025-12-30 10:16:54.410729,2025-12-30 10:16:42,551.8,552.0,551.8,0,552.3,549.25,551.85,5,5,1517250,8545950,1050,274050,392700,607.0,496.7,550.79,8625750,8540700
ANGELONE25DECFUT,ANGELONE,2025-12-30,250,12692738,2025-12-30 10:16:54.410729,2025-12-30 10:16:46,2358.1,2358.9,2358.0,0,2416.0,2348.4,2417.5,5,5,321000,596000,250,54000,75750,2659.2,2175.8,2378.23,632500,596000
APLAPOLLO25DECFUT,APLAPOLLO,2025-12-30,350,12693250,2025-12-30 10:16:54.410729,2025-12-30 10:16:44,1884.1,1886.4,1884.3,0,1888.5,1877.1,1890.6,5,5,87850,532000,350,81200,58450,2079.6,1701.6,1883.39,556850,532000
APOLLOHOSP25DECFUT,APOLLOHOSP,2025-12-30,125,12693506,2025-12-30 10:16:54.410729,2025-12-30 10:16:05,7031.5,7035.0,7034.5,0,7040.0,7008.5,7070.0,5,5,118000,623250,125,27750,34375,7777.0,6363.0,7025.82,623250,601500
ASHOKLEY25DECFUT,ASHOKLEY,2025-12-30,5000,12694530,2025-12-30 10:16:54.410729,2025-12-30 10:16:04,176.58,176.67,176.7,0,177.2,174.32,175.2,5,5,7345000,19520000,5000,1885000,1375000,192.72,157.68,175.66,21100000,19520000
ASIANPAINT25DECFUT,ASIANPAINT,2025-12-30,250,12694786,2025-12-30 10:16:54.410729,2025-12-30 10:16:46,2774.2,2775.7,2774.6,0,2782.8,2750.0,2775.2,5,5,719000,2563750,250,78750,65500,3052.7,2497.7,2761.79,2615000,2214500
ASTRAL25DECFUT,ASTRAL,2025-12-30,425,12695042,2025-12-30 10:16:54.410729,2025-12-30 10:16:43,1358.5,1359.5,1359.4,0,1375.7,1355.3,1375.2,5,5,325125,1660050,425,74800,96900,1512.7,1237.7,1360.44,1704675,1572075
AUBANK25DECFUT,AUBANK,2025-12-30,1000,12695298,2025-12-30 10:16:54.410729,2025-12-30 10:16:40,989.45,989.9,989.95,0,992.5,980.95,985.75,5,5,727000,2526000,1000,343000,200000,1084.3,887.2,985.74,2897000,2526000
AUROPHARMA25DECFUT,AUROPHARMA,2025-12-30,550,12696834,2025-12-30 10:16:54.410729,2025-12-30 10:16:35,1187.4,1188.2,1187.2,0,1209.6,1186.6,1201.6,5,5,831600,2773100,550,127600,354200,1321.7,1081.5,1195.27,2773100,2745600
AXISBANK25DECFUT,AXISBANK,2025-12-30,625,12697090,2025-12-30 10:16:54.410729,2025-12-30 10:16:52,1239.7,1239.9,1239.7,0,1239.9,1222.0,1231.2,5,5,1466875,8249375,625,248750,214375,1354.3,1108.1,1234.76,8289375,8243125
BAJAJ-AUTO25DECFUT,BAJAJ-AUTO,2025-12-30,75,12698114,2025-12-30 10:16:54.410729,2025-12-30 10:16:50,9171.5,9175.0,9176.5,0,9196.5,9010.0,9078.5,5,5,98325,220425,75,31425,22425,9986.0,8171.0,9108.15,279300,220425
BAJAJFINSV25DECFUT,BAJAJFINSV,2025-12-30,250,12700418,2025-12-30 10:16:54.410729,2025-12-30 10:16:47,1988.9,1989.9,1989.8,0,2014.9,1988.0,2006.9,5,5,343500,2149750,250,73750,109000,2207.5,1806.3,1996.49,2172250,2123250
BAJFINANCE25DECFUT,BAJFINANCE,2025-12-30,750,12700674,2025-12-30 10:16:54.410729,2025-12-30 10:16:37,991.3,991.7,991.3,0,996.5,990.8,995.1,5,5,2259750,9591000,750,253500,336750,1094.6,895.6,993.17,9866250,9294000
BANDHANBNK25DECFUT,BANDHANBNK,2025-12-30,3600,12700930,2025-12-30 10:16:54.410729,2025-12-30 10:16:29,146.16,146.24,146.23,0,146.34,145.2,146.13,5,5,4935600,23716800,3600,943200,1677600,160.74,131.52,145.65,23958000,23716800
BANKBARODA25DECFUT,BANKBARODA,2025-12-30,2925,12701698,2025-12-30 10:16:54.410729,2025-12-30 10:16:41,288.35,288.55,288.4,0,288.6,285.6,288.0,5,5,2582775,22089600,2925,848250,707850,316.8,259.2,286.94,22089600,21756150
BANKINDIA25DECFUT,BANKINDIA,2025-12-30,5200,12702978,2025-12-30 10:16:54.410729,2025-12-30 10:16:42,139.89,139.95,139.95,0,139.95,137.95,139.63,5,5,3099200,12381200,5200,1352000,1253200,153.59,125.67,138.82,12500800,12303200
BDL25DECFUT,BDL,2025-12-30,325,12703746,2025-12-30 10:16:54.410729,2025-12-30 10:16:19,1458.1,1459.0,1457.8,0,1486.2,1452.8,1474.2,5,5,241800,1079000,325,82225,128700,1621.6,1326.8,1463.2,1169675,1079000
BEL25DECFUT,BEL,2025-12-30,1425,12704002,2025-12-30 10:16:54.410729,2025-12-30 10:16:31,393.55,393.6,393.6,0,396.0,392.2,393.35,5,5,4267875,24584100,1425,679725,1540425,432.65,354.05,393.89,24715200,24508575
BHARATFORG25DECFUT,BHARATFORG,2025-12-30,500,12704258,2025-12-30 10:16:54.410729,2025-12-30 10:16:30,1454.4,1455.3,1455.0,0,1456.8,1442.8,1447.4,5,5,255000,2152000,500,137500,102000,1592.1,1302.7,1453.1,2172500,2151000
BHARTIARTL25DECFUT,BHARTIARTL,2025-12-30,475,12705026,2025-12-30 10:16:54.410729,2025-12-30 10:16:24,2092.7,2093.4,2092.8,0,2096.5,2072.3,2082.2,5,5,1375600,5312875,475,173375,175275,2290.4,1874.0,2087.68,5368450,5312875
BHEL25DECFUT,BHEL,2025-12-30,2625,12706050,2025-12-30 10:16:54.410729,2025-12-30 10:16:41,277.05,277.25,277.45,0,278.45,276.4,279.35,5,5,2730000,11662875,2625,643125,824250,307.25,251.45,277.37,11967375,11657625
BIOCON25DECFUT,BIOCON,2025-12-30,2500,12706306,2025-12-30 10:16:54.410729,2025-12-30 10:16:25,390.9,391.0,391.05,0,391.85,389.65,390.8,5,5,2772500,11987500,2500,585000,705000,429.85,351.75,390.83,12017500,11027500
BLUESTARCO25DECFUT,BLUESTARCO,2025-12-30,325,12707330,2025-12-30 10:16:54.410729,2025-12-30 10:16:40,1724.7,1725.9,1725.5,0,1738.7,1714.0,1733.9,5,5,45175,570050,325,62075,49725,1907.2,1560.6,1720.37,583700,570050
BOSCHLTD25DECFUT,BOSCHLTD,2025-12-30,25,12707586,2025-12-30 10:16:54.410729,2025-12-30 10:15:57,35580.0,35605.0,35575.0,0,35720.0,35325.0,35605.0,5,5,8650,29325,25,5275,4975,39165.0,32045.0,35531.17,29450,28350
BPCL25DECFUT,BPCL,2025-12-30,1975,12708866,2025-12-30 10:16:54.410729,2025-12-30 10:16:40,371.35,371.5,371.4,0,371.8,369.65,371.3,5,5,734700,7971100,1975,519425,424625,408.4,334.2,370.49,8233775,7971100
BRITANNIA25DECFUT,BRITANNIA,2025-12-30,125,12709634,2025-12-30 10:16:54.410729,2025-12-30 10:15:37,6032.0,6035.5,6029.0,0,6035.0,6000.5,6033.5,5,5,20625,204625,125,31000,23750,6636.5,5430.5,6021.5,204625,198375
BSE25DECFUT,BSE,2025-12-30,375,12710402,2025-12-30 10:16:54.410729,2025-12-30 10:16:56,2607.1,2607.7,2607.2,0,2628.6,2601.5,2628.0,5,5,663375,2551125,375,103875,177375,2890.8,2365.2,2614.22,2604375,2546250
CAMS25DECFUT,CAMS,2025-12-30,750,12710658,2025-12-30 10:16:54.410729,2025-12-30 10:16:26,734.6,735.0,734.6,0,739.2,733.0,739.7,5,5,717000,2259750,750,162000,166500,813.6,665.8,735.01,2302500,2177250
CANBK25DECFUT,CANBK,2025-12-30,6750,12710914,2025-12-30 10:16:54.410729,2025-12-30 10:16:55,152.16,152.2,152.2,0,152.39,148.91,150.74,5,5,10455750,22295250,6750,3267000,1167750,165.81,135.67,150.26,23267250,22011750
CDSL25DECFUT,CDSL,2025-12-30,475,12712194,2025-12-30 10:16:54.410729,2025-12-30 10:16:46,1444.2,1444.7,1444.3,0,1463.4,1440.6,1463.4,5,5,776625,2599675,475,100700,198075,1609.7,1317.1,1447.97,2968275,2599675
CGPOWER25DECFUT,CGPOWER,2025-12-30,850,12713218,2025-12-30 10:16:54.410729,2025-12-30 10:16:33,647.05,647.4,647.25,0,648.0,643.45,647.85,5,5,528700,3097400,850,192950,256700,712.6,583.1,645.5,3140750,3096550
CHOLAFIN25DECFUT,CHOLAFIN,2025-12-30,625,12713474,2025-12-30 10:16:54.410729,2025-12-30 10:16:29,1695.4,1696.7,1696.5,0,1706.8,1690.0,1699.6,5,5,750625,4446250,625,185625,117500,1869.5,1529.7,1693.03,4463750,4251875
CIPLA25DECFUT,CIPLA,2025-12-30,375,12713730,2025-12-30 10:16:54.410729,2025-12-30 10:16:11,1485.2,1486.3,1486.7,0,1493.6,1482.0,1491.6,5,5,360750,2413875,375,86625,139125,1640.7,1342.5,1485.66,2413875,2335875
COALINDIA25DECFUT,COALINDIA,2025-12-30,1350,12713986,2025-12-30 10:16:54.410729,2025-12-30 10:15:55,399.7,399.8,399.9,0,400.4,397.65,400.4,5,5,1846800,12584700,1350,403650,309150,440.4,360.4,399.21,12584700,12459150
COFORGE25DECFUT,COFORGE,2025-12-30,375,12716290,2025-12-30 10:16:54.410729,2025-12-30 10:16:41,1664.7,1665.5,1664.7,0,1677.7,1663.0,1685.7,5,5,524250,2631750,375,97875,162375,1854.2,1517.2,1669.67,2749875,2631750
COLPAL25DECFUT,COLPAL,2025-12-30,225,12716546,2025-12-30 10:16:54.410729,2025-12-30 10:16:31,2062.0,2062.7,2062.0,0,2077.0,2059.3,2075.4,5,5,275625,1362600,225,48825,77850,2282.9,1867.9,2063.73,1475775,1362600
CONCOR25DECFUT,CONCOR,2025-12-30,1250,12716802,2025-12-30 10:16:54.410729,2025-12-30 10:16:39,521.65,521.85,521.85,0,521.75,516.7,519.2,5,5,1875000,9388750,1250,298750,547500,571.1,467.3,519.72,9395000,9375000
CROMPTON25DECFUT,CROMPTON,2025-12-30,1800,12717058,2025-12-30 10:16:54.410729,2025-12-30 10:16:33,253.7,253.85,253.75,0,254.8,252.7,255.3,5,5,3076200,9145800,1800,333000,630000,280.8,229.8,253.44,9221400,8956800
CUMMINSIND25DECFUT,CUMMINSIND,2025-12-30,200,12718082,2025-12-30 10:16:54.410729,2025-12-30 10:15:01,4375.5,4378.0,4376.1,0,4439.9,4367.7,4402.0,5,5,103800,264400,200,45800,30400,4842.2,3961.8,4379.52,288200,264400
CYIENT25DECFUT,CYIENT,2025-12-30,425,12719874,2025-12-30 10:16:54.410729,2025-12-30 10:16:40,1092.9,1095.0,1093.8,0,1109.9,1090.0,1103.8,5,5,203150,1030625,425,48875,120700,1214.1,993.5,1097.36,1039125,1028925
DABUR25DECFUT,DABUR,2025-12-30,1250,12720130,2025-12-30 10:16:54.410729,2025-12-30 10:16:45,490.25,490.55,490.5,0,490.5,487.1,489.4,5,5,825000,3860000,1250,276250,348750,538.3,440.5,488.84,3886250,3837500
DALBHARAT25DECFUT,DALBHARAT,2025-12-30,325,12720898,2025-12-30 10:16:54.410729,2025-12-30 10:12:20,2134.1,2136.4,2137.4,0,2147.4,2128.0,2155.9,5,5,47775,338325,325,69225,55250,2371.4,1940.4,2135.39,346450,337675
DELHIVERY25DECFUT,DELHIVERY,2025-12-30,2075,12721154,2025-12-30 10:16:54.410729,2025-12-30 10:16:48,406.1,406.25,406.25,0,406.25,404.0,405.4,5,5,711725,3909300,2075,473100,456500,445.9,364.9,405.31,3952875,3909300
DIVISLAB25DECFUT,DIVISLAB,2025-12-30,100,12721410,2025-12-30 10:16:54.410729,2025-12-30 10:16:39,6370.5,6375.0,6370.5,0,6399.0,6341.5,6379.5,5,5,53200,301900,100,23600,28200,7017.0,5742.0,6365.12,312400,301700
DIXON25DECFUT,DIXON,2025-12-30,50,12722178,2025-12-30 10:16:54.410729,2025-12-30 10:16:54,11869.0,11874.0,11869.0,0,12006.0,11743.0,11848.0,5,5,342950,783700,50,19100,36650,13032.0,10664.0,11868.38,799950,783700
DLF25DECFUT,DLF,2025-12-30,825,12722946,2025-12-30 10:16:54.410729,2025-12-30 10:16:27,686.2,686.4,686.35,0,686.6,682.2,687.65,5,5,2536875,12453375,825,305250,558525,756.4,618.9,685.07,12784200,12453375
DMART25DECFUT,DMART,2025-12-30,150,12723202,2025-12-30 10:16:54.410729,2025-12-30 10:16:39,3807.0,3808.5,3808.5,0,3818.9,3791.0,3788.7,5,5,182850,992250,150,32100,44100,4167.5,3409.9,3802.01,1046700,992250
DRREDDY25DECFUT,DRREDDY,2025-12-30,625,12724994,2025-12-30 10:16:54.410729,2025-12-30 10:16:29,1271.2,1272.1,1271.9,0,1274.7,1267.6,1268.6,5,5,277500,1385625,625,155625,123125,1395.4,1141.8,1271.41,1437500,1383750
EICHERMOT25DECFUT,EICHERMOT,2025-12-30,175,12726018,2025-12-30 10:16:54.410729,2025-12-30 10:15:20,7266.5,7268.5,7266.0,0,7277.5,7192.0,7255.0,5,5,170625,642600,175,57050,30450,7980.5,6529.5,7241.72,677950,642600
ETERNAL25DECFUT,ETERNAL,2025-12-30,2425,12726274,2025-12-30 10:16:54.410729,2025-12-30 10:16:35,277.75,277.8,277.7,0,281.1,276.65,282.25,5,5,12462075,44629700,2425,662025,1530175,310.45,254.05,278.35,45221400,44450250
EXIDEIND25DECFUT,EXIDEIND,2025-12-30,1800,12726530,2025-12-30 10:16:54.410729,2025-12-30 10:16:28,360.6,360.8,360.65,0,360.95,359.25,361.85,5,5,1746000,8458200,1800,403200,1146600,398.0,325.7,360.16,8611200,8458200
FEDERALBNK25DECFUT,FEDERALBNK,2025-12-30,5000,12726786,2025-12-30 10:16:54.410729,2025-12-30 10:16:17,264.3,264.45,264.45,0,264.4,262.1,262.75,5,5,3585000,11885000,5000,1675000,875000,289.0,236.5,263.07,12420000,11885000
FORTIS25DECFUT,FORTIS,2025-12-30,775,12729090,2025-12-30 10:16:54.410729,2025-12-30 10:16:09,884.7,885.0,885.0,0,886.75,876.3,884.1,5,5,495225,2266875,775,200725,205375,972.5,795.7,881.15,2307950,2266875
GAIL25DECFUT,GAIL,2025-12-30,3150,12729346,2025-12-30 10:16:54.410729,2025-12-30 10:16:16,170.64,170.68,170.66,0,170.82,169.32,170.56,5,5,4306050,23168250,3150,743400,1575000,187.62,153.5,170.48,23502150,23168250
GLENMARK25DECFUT,GLENMARK,2025-12-30,375,12729602,2025-12-30 10:16:54.410729,2025-12-30 10:16:23,2004.1,2005.5,2005.5,0,2010.8,1998.0,2008.3,5,5,507375,2169000,375,86250,121875,2209.1,1807.5,2003.33,2202000,2164500
GMRAIRPORT25DECFUT,GMRAIRPORT,2025-12-30,6975,12729858,2025-12-30 10:16:54.410729,2025-12-30 10:15:58,101.79,101.87,101.71,0,102.01,101.17,102.09,5,5,6423975,35293500,6975,1785600,2692350,112.3,91.88,101.46,35293500,34491375
